,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
9536,2017-07-20,1050,43.209303783,-89.28016683,Other Non Domesticated,,Dane,2017,EGRE RD - Dane
9633,2017-08-01,2358,44.299964379,-90.12243469,Other Non Domesticated,,Wood,2017,State Highway080
9685,2017-08-05,1322,43.096514597,-88.2376704,Other Non Domesticated,,Waukesha,2017,CHESTERWOOD LN - Waukesha
9809,2017-08-03,800,43.961430486,-90.75598764,Other Non Domesticated,,Monroe,2017,County HighwayA
9815,2017-08-05,1316,43.533054143,-89.44235729,Other Non Domesticated,,Columbia,2017,US Highway051
9929,2017-08-15,2244,43.000765472,-90.65558877,Other Non Domesticated,,Grant,2017,US Highway061
10028,2017-08-21,126,44.248003187,-88.46630089,Other Non Domesticated,,Outagamie,2017,Interstate041
10092,2017-08-05,2100,44.459509211,-88.13477854,Other Non Domesticated,,Brown,2017,County HighwayG
10141,2017-08-20,1420,44.942288143,-92.42989616,Other Non Domesticated,,St. Croix,2017,Interstate094
10211,2017-08-25,1803,44.396324116,-88.15464624,Other Non Domesticated,,Brown,2017,Interstate041
10232,2017-08-19,2050,43.06778801,-88.62544328,Other Non Domesticated,,Jefferson,2017,County HighwayB
10330,2017-08-29,2231,44.498452551,-88.74715232,Other Non Domesticated,,Waupaca,2017,US Highway045
10392,2017-08-31,2018,42.969560097,-90.04517065,Other Non Domesticated,,Iowa,2017,County HighwayYZ
10609,2017-09-04,1955,43.355165593,-89.50899708,Other Non Domesticated,,Columbia,2017,County HighwayJ
10636,2017-09-05,430,44.753125917,-92.68139093,Other Non Domesticated,,Pierce,2017,US Highway010
10749,2017-09-06,2122,43.474398139,-87.82999291,Other Non Domesticated,,Ozaukee,2017,Interstate043
11030,2017-09-07,2030,43.926465702,-91.26981853,Other Non Domesticated,,La Crosse,2017,County HighwayZN
11268,2017-09-25,2050,43.687850955,-90.31814959,Other Non Domesticated,,Vernon,2017,LOVERS LN - Vernon
11622,2017-09-27,2226,44.453546301,-90.16459708,Other Non Domesticated,,Wood,2017,State Highway073
11699,2017-10-01,1951,44.635651479,-88.31271872,Other Non Domesticated,,Shawano,2017,State Highway055
11709,2017-10-01,1920,44.329466931,-89.00349626,Other Non Domesticated,,Waupaca,2017,US Highway010
11792,2017-10-04,635,42.987709878,-90.33475806,Other Non Domesticated,,Iowa,2017,State Highway080
12133,2017-10-09,2224,45.054464481,-88.31382056,Other Non Domesticated,,Oconto,2017,County HighwayZ
