,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
4160,2017-04-19,1135,44.847222255,-89.64302798,Turkey,,Marathon,2017,Interstate039
4167,2017-04-24,2010,43.399474682,-87.86363967,Turkey,,Ozaukee,2017,HALES TRL - Ozaukee
4190,2017-04-24,1353,43.060956622,-88.25108215,Turkey,,Waukesha,2017,State Highway016
4200,2017-04-23,1122,43.044127124,-89.28030517,Turkey,,Dane,2017,Interstate039
4201,2017-04-23,1716,43.571170116,-89.79344566,Turkey,,Sauk,2017,Interstate090
4203,2017-04-22,1910,43.159597755,-89.30847406,Turkey,,Dane,2017,Interstate039
4227,2017-04-26,1827,43.698576459,-88.44203622,Turkey,,Fond du Lac,2017,Interstate041
4257,2017-04-04,1720,42.697163628,-90.1212712,Turkey,,Lafayette,2017,State Highway023
4267,2017-04-12,1426,43.765706635,-90.24868922,Turkey,,Juneau,2017,State Highway082
4283,2017-04-25,1403,43.455888706,-88.36312901,Turkey,,Washington,2017,Interstate041
4287,2017-04-18,1535,43.035351012,-89.42972,Turkey,,Dane,2017,US Highway012
4304,2017-04-21,1219,44.414698095,-91.04752365,Turkey,,Jackson,2017,Interstate094
4346,2017-04-30,1138,45.15211642,-91.17508051,Turkey,,Chippewa,2017,State Highway178
4363,2017-04-23,1323,43.192675497,-88.1878709,Turkey,,Washington,2017,County HighwayQ
4365,2017-04-29,1330,43.276597107,-88.37056761,Turkey,,Washington,2017,State Highway083
4418,2017-04-17,730,43.43251394,-88.34082628,Turkey,,Washington,2017,Interstate041
4421,2017-04-29,1815,43.512906663,-87.9759896,Turkey,,Ozaukee,2017,County HighwayI
4435,2017-04-24,749,42.763788315,-88.43097801,Turkey,,Walworth,2017,Interstate043
4444,2017-04-21,810,44.024723954,-90.02454541,Turkey,,Juneau,2017,County HighwayG
4507,2017-04-23,1231,44.410085287,-89.10629749,Turkey,,Waupaca,2017,State Highway049
4514,2017-04-14,1306,43.021648779,-88.38167013,Turkey,,Waukesha,2017,State Highway083
4517,2017-04-15,1610,43.674967454,-87.7607646,Turkey,,Sheboygan,2017,Interstate043
4544,2017-05-01,1230,45.236968984,-90.30348035,Turkey,,Taylor,2017,State Highway013
4571,2017-05-02,807,44.513633492,-88.14694467,Turkey,,Brown,2017,State Highway054
4581,2017-05-01,1706,43.04810233,-90.67289248,Turkey,,Grant,2017,US Highway061
4616,2017-05-03,1645,44.443505701,-87.576382,Turkey,,Kewaunee,2017,State Highway029
4622,2017-05-04,645,43.684524635,-90.54882127,Turkey,,Vernon,2017,State Highway033
4626,2017-05-04,1815,43.819300289,-87.87262112,Turkey,,Sheboygan,2017,GARTON RD - Sheboygan
4682,2017-05-06,1921,45.063954267,-88.16051142,Turkey,,Oconto,2017,County HighwayB
